Sr._No.,KYC_Attributes,Name,Surname,Father_Name,Mother_Name,Spouse_Name,Date_of_Birth,Gender,Blood_Group,Home_Address,Office_Address,Communication_Address,PAN_no,Aadhar_no,Passport_no,BankAcDetails,CreditCard,Mobile_No,Email_Id,Nationality,Voter_Card_ID,DL,year_of_Birth,Age
11,Aadhar,Jwala J J Chadda,,Jaikishan,Jaya,Vishal,1989-06-25,Female,,Flat No  144  Sejal Arcade   Jaipur 302001 Rajasthan,,"Flat No. 144, Sejal Arcade,  Jaipur,302001,Rajasthan",0,167974757320,0,0,,7534410715,cjjj@gmail.com,Indian,,,1989,32
12,Aadhar,Kajol R A Dewan,,Rahul Gaykwad,Aahana  Gayakwad,HariOm Dewan,1984-08-15,Female,,A 11  Naraina Indl Area  S Vivekanand Rd  Kandivali (E) Mumbai  400101,,"A 11, Naraina Indl Area, S Vivekanand Rd, Kandivali,(E) Mumbai, 400101",CDRKH1243Y,665544332212,0,0,,5785475885,kra@gmail.com,Indian,,,1984,37
13,Aadhar,Kalini KU Chadha,,Krishna Bose,Urmikta Bose,,1979-09-08,Female,,87  Kharadi  Hapur   245101  Uttar Pradesh,,"87, Kharadi, Hapur - 245101, Uttar Pradesh",0,445511123316,0,0,,7896544782,kku@gmail.com,Indian,,,1979,42
14,Aadhar,Pratyush Kalyani Tata,,Pratyush Murthy,Kirtida Murthy,,1979-01-19,Female,,Rto Main Road  Opp  Jhulelal Mandir  Varasia  Dahod  389151  Gujarat,,"Rto Main Road, Opp. Jhulelal Mandir, Varasia, Dahod, 389151, Gujarat",0,367712445525,0,0,,8520025885,pkt@gmail.com,Indian,,,1979,42
15,Aadhar,Kirti Amrit S Prakash,,Amrit Devdhar,Sukanya Devdhar,,1981-08-31,Female,,127  A  Har Indl Est  Sun Mill Road  Shimal 171002 Himachal Pradesh,,"127, A, Har Indl Est, Sun Mill Road, Shimal,171002,Himachal Pradesh",0,886655714438,0,0,,6118945248,kasp@gmail.com,Indian,,,1981,40
16,Aadhar,Lakshmi B M Desai,,Bijoya Kabra,Muktai Kabra,Jaydev Desai,1980-01-10,Female,,95  Alaknanda Villas  PreshitaGarh Jaipur 302004 Rajashtan,,"95, Alaknanda Villas, PreshitaGarh,Jaipur,302004,Rajashtan",0,878886068589,0,0,,5654778879,lbmd@gmail.com,Indian,,,1980,41
17,Aadhar,Lalita B R Dutt,,Bhima Sanyal,Richa Sanyal,,1979-09-07,Female,,Jn2/5/a 2  Sector 10  Chickpet   Jabalpur 482002 Madhya pradesh,,"Jn2/5/a-2, Sector 10, Chickpet, ,Jabalpur,482002,Madhya pradesh",0,445511223363,0,0,,8878797882,lbr@gmail.com,Indian,,,1979,42
18,Aadhar,Lina R V Dugal,,Raman Dhingra,Varsha Dhingra,,1987-11-11,Female,,10  Virar  Indore   452003  Madhya Pradesh,,"10, Virar, Indore - 452003, Madhya Pradesh",0,201020406063,0,0,,6342577887,lrdv@gmail.com,Indian,,,1987,34
19,Aadhar,Akash Kamlesh Renu Mathur,,Kamlesh Mathur,Renu Mathur,,1989-11-12,Male,,17/18  Vihar  Rajnagar  Allahabad 211003 Uttar Pradesh,,"17/18, Vihar, Rajnagar,,Allahabad,211003,Uttar Pradesh",0,201020405021,0,0,,4758699678,akrm@gmail.com,Indian,,,1989,32
20,Aadhar,Jitendra Arun Rao,,Jitendra Rao,Kavita Rao,,1985-12-22,Male,,Flat No 12 Sarita Vihar Panna 488001 Madhya Pradesh,,"Flat No 12,Sarita Vihar,Panna,488001,Madhya Pradesh",0,311020405035,0,0,,2222144163,jra@gmail.com,Indian,,,1985,36
21,Aadhar,Amar R K Singh,,Rajendra Singh,Kavita Singh,,1975-11-22,Male,,H NO 11/1 Radha Nagar Babina  284401 Uttar Pradesh,,"H NO 11/1 Radha Nagar Babina, 284401,Uttar Pradesh",0,331020405112,0,0,,7755331148,ark@gmail.com,Indian,,,1975,46
22,Aadhar,Seema R R Yadav,,Rampal Yadav,Renu Yadav,,1979-09-23,Female,,Plot No 25 Echelon Square  Sector 32 Aroli Navi Mumabi 400708  Maharashtra,,"Plot No.25,Echelon Square, Sector,32,Aroli Navi Mumabi,400708, Maharashtra",0,6010204051278,0,0,,63655225236,srr@gmail.com,Indian,,,1979,42
23,Aadhar,Arun U J Suman,,Umardas Dinkar,Jaidevi Dinkar,,1984-03-20,Male,,H NO 1111  Leelawati  Patoriya Chamba 176310  Himachal Pradesh,,"H NO 1111, Leelawati, Patoriya,Chamba,176310, Himachal Pradesh",0,341020405333,0,0,,7245877883,aus@gmail.com,Indian,,,1984,37
24,Aadhar,Neha R S Panday,,Rajeev Panday,Seema Panday,,1982-03-16,Female,,S N 18/19 Lane No  3 Om Sai Ganesh Nagar Bhushawal 425201 Maharashatra,,"S.N.18/19 Lane No  3 Om Sai Ganesh Nagar Bhushawal,425201,Maharashatra",ABCDE1072E,205330405254,0,0,,8274858526,nrsp@gmail.com,Indian,,,1982,39
25,Aadhar,Ranvir Sharma,,Arun Sharma,Binita Sharma,,1991-10-10,Male,,105  Upasana Nagar  Indore   452001  MP,,"105, Upasana Nagar, Indore - 452001, MP",0,612142402034,0,0,,6352422428,rs@gmail.com,Indian,,,1991,30
26,Aadhar,Rajesh S R Gangwar,,Santosh Gangwar,Reeta Gangwar,,1986-02-12,Male,,Flat No 17  Sanjay Nagar  Ghaziabad 201003 Uttar Pradesh,,"Flat No 17, Sanjay Nagar, Ghaziabad,201003,Uttar Pradesh",0,887289475875,0,0,,4247586977,rsr@gmail.com,Indian,,,1986,35
27,Aadhar,Soni Dubey,,Kapil Dubey,Sarita Dubey,Rakesh Dubey,1984-04-13,Female,,H No 76 Veena Sai Apt  Borivali (West) 400092 Mumbai Maharashtra,,"H No 76,Veena Sai Apt, Borivali,(West),400092,Mumbai,Maharashtra",0,981635423664,0,0,,4758699876,sd@gmail.com,Indian,,,1984,37
28,Aadhar,Rajkumar Neha Pingle,,Dinesh Pingle,Sarika Pingle,,1987-09-05,Female,,Flat No 12 Wing A Vedant Nivas Kaushambi Ghaziabad 211007 Uttar Pradesh,,"Flat No 12 Wing A,Vedant Nivas,Kaushambi,Ghaziabad,211007,Uttar Pradesh",0,311768699611,0,0,,6363632528,rnp@gmail.com,Indian,,,1987,34
29,Aadhar,Kiran R R Mistrry,,Ramesh Mistry,Ropa Mistry,,1980-03-10,Male,,Yogi COHS  B Wing  Flat No 202 60 Feet Road Kalindi Vihar 282006 Agra Uttar Pradesh,,"Yogi COHS, B Wing, Flat No 202,60 Feet Road,Kalindi Vihar,282006,Agra,Uttar Pradesh",0,674557488745,0,0,,2423252628,krr@gmail.com,Indian,,,1980,41
30,Aadhar,Gurjeet Harpreet Singh,,Harpreet Singh,Sonali Singh,,1980-03-12,Male,,SEC 21 2nd Floor  B Block Ranjit Avenue Banglore 530068 Karnataka,,"SEC-21 2nd Floor ,B-Block Ranjit Avenue,Banglore,530068,Karnataka",0,656965655645,0,0,,7112201712,ghs@gmail.com,Indian,,,1980,41
31,Aadhar,Janhit Vinod Priti Gupta,,Vinod Gupta,Priti Gupta,,1981-05-20,Male,,H No 233 Gali No 1 Jekegram  Mumbai  400606  Maharashtra ,,,0,851247155746,0,0,,7120404543,jvp@gmmail.com,Indian,,,1981,40
32,Aadhar,Rina Sant,,Roop Sant,Savita Sant,Rakesh Singh,1979-07-17,Female,,M Wing  H No 281 Sanjay Nagar Surat 395012 Gujarat,,"M Wing, H No 281,Sanjay Nagar,Surat,395012,Gujarat",0,799875566353,0,0,,5545575866,rs@gmail.com,Indian,,,1979,42
33,Aadhar,Kapil Hetentra Singh,,Hetentra Singh,Rita Singh,,1981-02-12,Male,,Ground Floor Flat No  10 Olympica Soc Shahdara East 110032 Delhi,,"Ground Floor,Flat No, 10,Olympica Soc,Shahdara East,110032,Delhi",0,764674455867,0,0,,7475767176,khs@gmail.com,Indian,,,1981,40
34,Aadhar,Rahul S R Khanna,,Sudhir Khanna,Rekha Khanna,,1978-01-30,Male,,107 Ahilya Marg Gomes Defence Colony Hanuman Nagar Jaipur 302012 Rajasthan,,"107,Ahilya Marg Gomes Defence Colony Hanuman Nagar Jaipur,302012,Rajasthan",0,711223322013,0,0,,71220404545,rsr@gmail.com,Indian,,,1978,43
35,Aadhar,Sunil D N Ravet,,Dhiraj Ravet,Neha Ravet,,1981-04-15,Male,,503 B Block Lodha Casa Rio Dombivali East  Mumbai 400613 Maharashtra,,"503 B Block,Lodha Casa Rio,Dombivali East, Mumbai,400613,Maharashtra",0,734223322146,0,0,,5745575857,sdnr@gmail.com,Indian,,,1981,40
36,Aadhar,Deeplata Balaram P Suman,,Balaram Suman,Priti Suman,,1981-06-14,Female,,678/2  Gali No 1 Jhilmil Colony Defence Colony  Vadodara 390008 Gujarat,,"678/2, Gali No 1,Jhilmil Colony,Defence Colony, Vadodara,390008,Gujarat",0,520477784455,0,0,,7575767176,dbps@gmail.com,Indian,,,1981,40
37,Aadhar,Pankaj M S Mathur,,Mansingh Mathur,Seema Mathur,,1985-10-25,Male,,2576 Simla House Jain Sathanak Rd  Totaram Bazar Ganeshpura  Delhi 110035,,"2576,Simla House,Jain Sathanak Rd, Totaram Bazar,Ganeshpura, Delhi-110035",0,414223322211,0,0,,73230404546,pm@fakemail.com,Indian,,,1985,36
38,Aadhar,Rajeev M R Chopda,,Mahesh Chopda,Rakhi Chopda,,1979-06-08,Male,,226 City Centre  Opp  Guru Nanak Bhawan  Near Bus Stand  Amritsar  Punjab 143001,,"City Centre-41,Senapati Bapat Rd Chattushringi, Shivajinagar, Pune,Maharashatra-411004",0,454223322246,0,0,,5775575854,rmrc@gmail.com,Indian,,,1979,42
39,Aadhar,Ankur D A Jadhav,,Dinesh Jadhav,Aabha Jadhav,Deepa Jadhav,1980-12-20,Male,,Plot 16 Grount Floor  Amar Stambh Zone 1  MP Nagar Solapur Maharashtra 413001,,"Plot 16,Grount Floor, Amar Stambh,Zone 1, MP Nagar,Solapur,Maharashtra-413001",0,580477784457,0,0,,7554233996,ada@fakemail.com,Indian,,,1980,41
40,Aadhar,Megha R M Tiwari,,Roop Tiwari,Manju Tiwari,,1976-04-15,Female,,34/35 Mathura Vihar  Nr Vijay Nagar  Kanchan Vihar Totaram Bazar Ganeshpura  Delhi 110035,,"34/35 Mathura Vihar, Nr Vijay Nagar, Kanchan Vihar,Totaram Bazar,Ganeshpura, Delhi-110035",0,543223322356,0,0,,9723099666,mrm@fakemail.com,Indian,,,1976,45
41,Aadhar,Mohit M R Yadav,,Mahesh Yadav,Rajani Yadav,,1979-06-08,Male,,Plot No26 Mantri Wadi S Vivekanand Road  Russali Bhopal  Madhya Pradesh 462038,,"Plot No26 Mantri Wadi,S Vivekanand Road ,Russali,Bhopal, Madhya Pradesh-462038",0,252233222462,0,0,,9620457847,mmry@fakemail.com,Indian,,,1979,42
42,Aadhar,Ankur Dinesh Aabha Kurmi,,Dinesh Kurmi,Aabha Kurmi,,1980-12-20,Male,,Plot 125 Grount Floor  Amar Stambh Zone 1  Mohan Nagar Meerut Uttar Pradesh 400215,,"Plot 125,Grount Floor, Amar Stambh,Zone 1, Mohan Nagar,Meerut,Uttar Pradesh-400215",0,534477784456,0,0,,7304237858,adka@gmail.com,Indian,,,1980,41
43,Aadhar,Pooja V M Tiwari,,Vijay Tiwari,Manju Tiwari,,1976-04-15,Female,,SN 06  Saket Commercial Complex Laxminagar Delhi 110035,,"SN-06, Saket Commercial Complex,Laxminagar,Delhi-110035",0,544712244124,0,0,,9723399666,pvm@gmail.com,Indian,,,1976,45
44,Aadhar,Mohit M R Malik,,Mahesh Malik,Rajani Malik,,1979-06-18,Male,,H No 106 Mantri Wadi S Vivekanand Road  Russali Bhopal  Madhya Pradesh 462038,,"H No 106 Mantri Wadi,S Vivekanand Road ,Russali,Bhopal, Madhya Pradesh-462038",0,731233222415,0,0,,9621457847,mmr@fakemail.com,Indian,,,1979,42
45,Aadhar,Kuldeep Dipendra Anita Saini,,Dipendra Saini,Anita Saini,,1980-12-20,Male,,25 Grount Floor  Amar Stambh Zone 1  Mohan Nagar Meerut Uttar Pradesh 400215,,"25,Grount Floor, Amar Stambh,Zone 1, Mohan Nagar,Meerut,Uttar Pradesh-400215",0,537477784476,0,0,,7224237855,kdas@fakemail.com,Indian,,,1980,41
46,Aadhar,Sarita R M Gautam,,Ramesh Gautam,Mita Gautam,,1978-04-23,Female,,6 Jai Sundram Soc Mohan Nagar Ghaziabad  Uttar Pradesh 201007,,"6 Jai Sundram Soc,Mohan Nagar Ghaziabad, Uttar Pradesh-201007",0,655301233215,0,0,,9513099656,srm@fakemail.com,Indian,,,1978,43
47,Aadhar,Nitin N R Singh,,Nilesh Singh,Rajani Singh,,1982-01-15,Male,,250 Jatia Wadi S Vivekanand Road  Russali Bhopal  Madhya Pradesh 462038,,"250 Jatia Wadi,S Vivekanand Road ,Russali,Bhopal, Madhya Pradesh-462038",0,711333222413,0,0,,3622382382,nnr@fakemail.com,Indian,,,1982,39
48,Aadhar,Rajnesh Rajendra Anita Thakur,,Rajendra Thakur,Anita Thakur,,1976-12-20,Male,,B 183 Rajaji Puram Vidish Madhya Pradesh 464001,,"B-183,Rajaji Puram,Vidish,Madhya Pradesh-464001",0,585477784456,0,0,,3445577816,rrat@fakemail.com,Indian,,,1976,45
49,Aadhar,Nikita R M Gautam,,Ramesh Gautam,Meena Gautam,,1981-05-15,Female,,6b Sultan Alam Road Mohan Nagar Ghaziabad  Uttar Pradesh 201007,,"6b,Sultan Alam Road,Mohan Nagar Ghaziabad, Uttar Pradesh-201007",0,655701233217,0,0,,9115099655,nrmg@fakemail.com,Indian,,,1981,40
50,Aadhar,Suraj R R Shah,,Rajveer Shah,Rajani Shah,,1982-10-10,Male,,16/3 Jagannathan Road Russali Bhopal  Madhya Pradesh 462038,,"16/3 Jagannathan Road,Russali,Bhopal, Madhya Pradesh-462038",0,717883222419,0,0,,3622382382,nnr@fakemail.com,Indian,,,1982,39
51,Aadhar,Jitendra Rajendra Anita Kajla,,Rajendra Kajla,Anita Kajla,,1976-12-20,Male,,C 35 Udyogpuram Industrial Estate Vidish Madhya Pradesh 464001,,"C-35,Udyogpuram Industrial Estate,Vidish,Madhya Pradesh-464001",0,324477784452,0,0,,3135577814,jrak@fakemail.com,Indian,,,1976,45
52,Aadhar,Pawan R M Satpal,,Rakesh Satpal,Manshi Satpal,,1981-06-15,Male,,16 Hari Om Heritage  Sector 21 Plot No8  Mohan Nagar Ghaziabad  Uttar Pradesh 201007,,"16,Hari Om Heritage, Sector 21,Plot No8,,Mohan Nagar Ghaziabad, Uttar Pradesh-201007",0,695571233219,0,0,,2277742557,prm@fakemail.com,Indian,,,1981,40
53,Aadhar,Jay R R Vora,,Rajvir Vora,Rajani Vora,,1982-11-10,Male,,B/103 Asmita Cres  Nr Asmita Club Bhopal  Madhya Pradesh 462038,,"B/103,Asmita Cres, Nr Asmita Club,Bhopal, Madhya Pradesh-462038",0,927733222412,0,0,,3778382388,jrr@fakemail.com,Indian,,,1982,39
54,Aadhar,Vardan Rajendra Anita Sharma,,Rajendra Sharma,Anita Sharma,,1976-12-20,Male,,C 35 Udyogpuram Industrial Estate Vidish Madhya Pradesh 464001,,"C-35,Udyogpuram Industrial Estate,Vidish,Madhya Pradesh-464001",0,354477784455,0,0,,3535577815,vras@gmail.com,Indian,,,1976,45
55,Aadhar,Shabdantika R M Parab,,Rakesh Parab,Manshi Parab,,1983-03-15,Female,,A/601 DSK Saraswati Vaishet Pada No8  Mohan Nagar Ghaziabad  Uttar Pradesh 201007,,"A/601,DSK Saraswati,Vaishet Pada No8,,Mohan Nagar Ghaziabad, Uttar Pradesh-201007",0,706540985656,0,0,,6277742556,srmp@fakemail.com,Indian,,,1983,38
56,Aadhar,Hasti R R Vora,,Rajvir Vora,Rajani Vora,,1982-11-10,Female,,H No 17 Sunder Prakash Co hsg society Bhopal  Madhya Pradesh 462038,,"H No-17 Sunder Prakash Co.hsg.society,Bhopal, Madhya Pradesh-462038",0,675817151027,0,0,,5678382388,hrrv@fakemail.com,Indian,,,1982,39
57,Aadhar,Rikita Rajendra Anita Modi,,Rajendra Modi,Anita Modi,,1976-12-20,Female,,Plot No F 7  Industrial Area Vidish Madhya Pradesh 464001,,"Plot No F-7, Industrial Area,Vidish,Madhya Pradesh-464001",0,531859517693,0,0,,9422728065,rra@fakemail.com,Indian,,,1976,45
58,Aadhar,AdwaitM N Dhawan,,Anil Dhawan,Manisha Dhawan,,2001-02-15,Male,,D/521 Visava CHS Haji Bapu Road Raj Nagar Ghaziabad  Uttar Pradesh 201007,,"D/521,Visava CHS Haji Bapu Road,Raj Nagar Ghaziabad, Uttar Pradesh-201007",0,236425348691,0,0,,7277742577,amnd@fakemail.com,Indian,,,2001,20
59,Aadhar,Kanishka K R Khopar,,Kaustubh Khopar,Rajani Khopar,,1985-09-11,Female,,H No 17 Sunder Prakash Co hsg society Bhopal  Madhya Pradesh 462038,,"H No-17 Sunder Prakash Co.hsg.society,Bhopal, Madhya Pradesh-462038",0,237353493245,0,0,,6578382365,kkrk@fakemail.com,Indian,,,1985,36
60,Aadhar,Yeshvi Jignesh Ankita Shah,,Jignesh Shah,Ankita Shah,,1976-12-20,Female,,H No 21 Om Sai Krupa bldgVidis Bina Madhya Pradesh 464001,,"H No 21,Om Sai Krupa bldgVidis,Bina,Madhya Pradesh-464001",0,502347284900,0,0,,9422728123,yja@fakemail.com,Indian,,,1976,45
61,Aadhar,Dron S S Nayak,,Sehul Nayak,Shwati Nayak,,2001-02-15,Male,,G 2 Sayani Chawl Ranisati Marg Opp Laxminarayan Temple Sitapur Uttar Pradesh 201007,,"G-2,Sayani Chawl Ranisati Marg,Opp Laxminarayan Temple,Sitapur,Uttar Pradesh-201007",0,633235813817,0,0,,9557443925,dssn@fakemail.com,Indian,,,2001,20
62,Aadhar,Yamini A R Prajapati,,Akhilesh Prajapati,Rajani Prajapati,,1985-09-11,Female,,SP 21  Sector C  Chetan Vihar Colony Co hsg society Bhopal  Madhya Pradesh 462038,,"SP 21, Sector C, Chetan Vihar Colony,Co.hsg.society,Bhopal, Madhya Pradesh-462038",0,944711573845,0,0,,9887423439,yarp@fakemail.com,Indian,,,1985,36
63,Aadhar,Vedika Manish Ankita Patil,,Manish Patil,Ankita Patil,,1976-12-20,Female,,705 Ashirwad Building C 3 Near Kabutar Khana Bina Madhya Pradesh 464001,,"705,Ashirwad Building C-3,Near Kabutar Khana,Bina,Madhya Pradesh-464001",0,954654539564,0,0,,7447427478,vmap@fakemail.com,Indian,,,1976,45
64,Aadhar,Anirudh S S Tripathi,,Shahil Tripathi,Simran Tripathi,,2001-01-15,Male,,H NO 01 Rani Laxmi Marg  Krishna Nagar Sitapur Uttar Pradesh 201007,,"H NO 01,Rani Laxmi Marg ,Krishna Nagar,Sitapur,Uttar Pradesh-201007",0,937296552243,0,0,,9457443943,ast@fakemail.com,Indian,,,2001,20
65,Aadhar,Khushi A R Prajapati,,Akhilesh Prajapati,Rajani Prajapati,,1985-09-11,Female,,2  1st Floor  West Row  Circus Avenue Bhopal  Madhya Pradesh 462038,,"2, 1st Floor, West Row, Circus Avenue,Bhopal, Madhya Pradesh-462038",0,966731576876,0,0,,9724389376,karp@fakemail.com,Indian,,,1985,36
66,Aadhar,Sanika Manish Ankita Gopale,,Manish Gopale,Ankita Gopale,,1976-12-20,Female,,4/996  Old Mahabalipuram Road Bina Madhya Pradesh 464001,,"4/996, Old Mahabalipuram Road,Bina,Madhya Pradesh-464001",0,676622638267,0,0,,7447427478,sma@fakemail.com,Indian,,,1976,45
67,Aadhar,Mayur SS Pingle,,Shahil Pingle,Simran Pingle,,1999-03-15,Male,,B/103  Asmita Cres  Nr Asmita Club Sitapur Uttar Pradesh 201007,,"B/103, Asmita Cres, Nr Asmita Club,Sitapur,Uttar Pradesh-201007",0,937296552543,0,0,,9457443934,msp@fakemail.com,Indian,,,1999,22
68,Aadhar,Aachal A R Ambaliya,,Akhilesh Ambaliya,Rajani Ambaliya,,1988-09-11,Female,,2nd Floor Centre Point  Above Pizza Hut Circus Avenue Bhopal  Madhya Pradesh 462038,,"2nd Floor Centre Point, Above Pizza Hut Circus Avenue Bhopal, Madhya Pradesh-462038",0,677413507667,0,0,,9024389376,aara@fakemail.com,Indian,,,1988,33
69,Aadhar,Deepa Mahesh Ankita Dhale,,Mahesh Dhale,Ankita Dhale,,1976-12-20,Female,,18  Civic Centre  Khandelwal Complex  Opp Prabhu Vandana Talkies  Bina Madhya Pradesh 464001,,"18, Civic Centre, Khandelwal Complex, Opp Prabhu Vandana Talkies,,Bina,Madhya Pradesh-464001",0,606622638267,0,0,,7047427478,dmad@fakemail.com,Indian,,,1976,45
70,Aadhar,Hitesh SS More,,Shahil More,Sikha More,,1986-04-21,Male,,330  Goshamahal Road  Begum Baza  Mauranipur Uttar Pradesh 201007,,"330, Goshamahal Road, Begum Baza ,Mauranipur,Uttar Pradesh-201007",0,937254329655,0,0,,9457443974,hsm@fakemail.com,Indian,,,1986,35
71,Aadhar,Saniya A R Maniyar,,Akhil Maniyar,Rajani Maniyar,,1988-07-24,Female,,Plot No 430A  Industrial Area  Phase II Bhonri Rod Bhopal  Madhya Pradesh 462038,,"Plot No 430A, Industrial Area, Phase II,Bhonri Rod,Bhopal, Madhya Pradesh-462038",0,677476671350,0,0,,9024389146,sarm@fakemail.com,Indian,,,1988,33
72,Aadhar,Anita Manish Archna Dhale,,Manish Dhale,Archna Dhale,,1989-05-23,Female,,10  Patrakar Colony Katni Jabalpur Road Madhya Pradesh 464001,,"10, Patrakar Colony,Katni,Jabalpur Road,Madhya Pradesh-464001",0,68267662263,0,0,,7047427417,amad@fakemail.com,Indian,,,1989,32
73,Aadhar,Vishal S Sharma,,Shailesh Sharma,Sania Sharma,,1986-04-21,Male,,111 Pettah Jn  Anayara Road Mahoba Uttar Pradesh 201447,,"111,Pettah Jn, Anayara Road,Mahoba,Uttar Pradesh-201447",0,967254329478,0,0,,9400443974,vss@fakemail.com,Indian,,,1986,35
74,Aadhar,Sikha Anuj Rathor,,Anuj Rathor,Rajani Rathor,,1988-07-24,Female,,102 Truck Parking  AB Rd  Bhopal  Madhya Pradesh 462067,,"102 Truck Parking, AB Rd, Bhopal, Madhya Pradesh-462067",0,697476671395,0,0,,9024300146,sar@fakemail.com,Indian,,,1988,33
75,Aadhar,Anju Mahendra Abhilasha Singh,,Mahendra Singh,Abhilasha Singh,,1989-05-23,Female,,P2  Awadh Puri  Opposite Ram Mandir Satna Madhya Pradesh 464601,,"P2, Awadh Puri, Opposite Ram Mandir,Satna,Madhya Pradesh-464601",0,67267662245,0,0,,7947427417,amas@fakemail.com,Indian,,,1989,32
76,Aadhar,Vaasu S Shirke,,Satish Shirke,Sunita Shirke,,1986-05-21,Male,,Plot No 51 A  Ranjana Enclav Mahoba Uttar Pradesh 201447,,"Plot No-51 A, Ranjana Enclav,Mahoba,Uttar Pradesh-201447",0,907054329478,0,0,,9400043974,ssv@fakemail.com,Indian,,,1986,35
77,Aadhar,Shivani Aniket Rathor,,Aniket Rathor,Rajani Rathor,,1986-08-24,Female,,B 89  New Vishwakarma Nagar Bhopal  Madhya Pradesh 462067,,"B,89, New Vishwakarma Nagar,Bhopal, Madhya Pradesh-462067",0,697470071395,0,0,,9024355146,sar@fakemail.com,Indian,,,1986,35
78,Aadhar,Aakriti Mohit Aabhas Sonar,,Mohit Sonar,Aabhas Sonar,,1988-05-23,Female,,120 Okay PLUS House  Kiran Path  Suraj Nagar Satna Madhya Pradesh 464651,,"120,Okay PLUS House, Kiran Path, Suraj Nagar,Satna,Madhya Pradesh-464651",0,60067662245,0,0,,7900427417,ama@fakemail.com,Indian,,,1988,33
